""	SAMPLE_101	SAMPLE_102	SAMPLE_103	SAMPLE_104	SAMPLE_105	SAMPLE_106	SAMPLE_107	SAMPLE_108	SAMPLE_109	SAMPLE_111	SAMPLE_112	SAMPLE_113	SAMPLE_114	SAMPLE_115	SAMPLE_116	SAMPLE_117	SAMPLE_118	SAMPLE_121	SAMPLE_122	SAMPLE_123	SAMPLE_124	SAMPLE_125	SAMPLE_126	SAMPLE_127	SAMPLE_128	SAMPLE_129	SAMPLE_130	SAMPLE_132	SAMPLE_133	SAMPLE_134	SAMPLE_135	SAMPLE_136	SAMPLE_137
year_2021_Bin_20_MAG_00001	0	0,035269294	0,027452376	0,03280019	0,040350746	0,0343956	0,04681674	0,06507129	0,00765866	0,03138117	0,05132066	0,023312826	0,017043322	0,03108071	0,007079484	0,003085775	0,029723644	0,0422652	0,031986553	0,037268616	0,067481115	0,039053448	0,031308934	0,041183174	0,055145063	0,049785018	0,048325878	0,054194666	0,041313317	0,037628297	0,027999783	0,050693262	0,028527072
year_2021_Bin_20_MAG_00002	0	0,03682479	0,026367906	0,03407444	0,039206754	0,031277314	0,04667705	0,047964003	0,02811878	0,026588244	0,043465417	0,023545364	0,025729299	0,03457564	0,010690498	0,02052144	0,043147366	0,029192718	0,035612278	0,0348083	0,07441781	0,04154596	0,048611373	0,04652802	0,06061163	0,05180438	0,04867471	0,041744318	0,046479784	0,048967496	0,03397377	0,06813772	0,041421436
year_2021_Bin_20_MAG_00003	0	0,052032206	0,028987464	0,027056787	0,037921686	0,040476087	0,03716795	0,040985752	0,026555974	0,032335836	0,0242083	0,031652324	0,030363055	0,038626708	0,0203556	0,024924336	0,04195119	0,038034823	0,042095955	0,052114476	0,070162125	0,037933886	0,044435434	0,049907357	0,04558186	0,04687807	0,04753449	0,055166606	0,037559602	0,050913863	0,025529817	0,05297859	0,03623477
year_2021_Bin_22_MAG_00003	0,01119775	0,006474638	0,0059786243	0,0048568314	0,011708421	0,0060782777	0,003326141	0,008949931	0,0098052975	0,008789337	0,008860093	0,0058980105	0,0068938765	0,011849161	0,017002638	0,023234861	0,011986862	0,0065110633	0,015478744	0,011847555	0,016664023	0,011908499	0,018036937	0,017794633	0,02062886	0,016964167	0,018704144	0,018306546	0,015488776	0,01465939	0,030828102	0,017141232	0,044527322
year_2021_Bin_24_MAG_00001	0	0,023840025	0,031248644	0,041333266	0,032813355	0,043085884	0,03316237	0,044930022	0,021054069	0,032786705	0,027168835	0,021733528	0,024955068	0,032320715	0,012551673	0,003912341	0,03880813	0,032697294	0,025419205	0,031575307	0,061347462	0,040120136	0,04333923	0,04917623	0,026887955	0,04378041	0,037248634	0,023036975	0,022285655	0,020487016	0,025271583	0,029173378	0,033748392
year_2021_Bin_25_MAG_00001	0	0,036128465	0	0,010864886	0,027468221	0,0141434185	0,037176635	0,03407519	0,04051732	0,026817698	0,044686135	0,038424704	0	0,04073622	0,0327601	0,03746615	0,027299235	0,03946426	0,032832786	0,03035282	0,04595532	0,015387038	0,027738824	0,038651362	0,04415344	0,043747045	0,040058974	0,049972504	0,04361414	0,03752385	0,036075253	0,044246655	0,028291177
year_2021_Bin_33_MAG_00001	0,029439239	0,016776163	0,027644174	0,009065201	0,018269634	0,02006455	0,020754378	0,021679683	0,005702042	0,0030564298	0,0054641976	0,016840402	0,024999097	0,014418806	0,0021417227	0,002565585	0,023074036	0,027673805	0,029024677	0,030807838	0,033391923	0,03170211	0,026265252	0,02894829	0,020146366	0,02050794	0,012092162	0,02258343	0,022415517	0,026349662	0,02376335	0,01917024	0,0337054
year_2021_Bin_34_MAG_00001	0,06131608	0,032585118	0,023778697	0,038974673	0,04099593	0,037133403	0,032316986	0,040499095	0,020834906	0,026490234	0,03303213	0,016367475	0,026033334	0,032370105	0,004177992	0,020626163	0,024450853	0,029868528	0,03307991	0,03861251	0,06610415	0,035844453	0,029944757	0,023304097	0,04799244	0,04454513	0,035690024	0,04958259	0,041013792	0,037518457	0,030456532	0,046926264	0,038861882
year_2021_Bin_37_MAG_00001	0,004301287	0,0097757615	0,012129761	0,008267995	0,014319097	0,00909915	0,01888931	0,005943226	0,011110118	0,0047851303	0,005161142	0,011293679	0,0177763	0,022734553	0,021654561	0,021737315	0,01639217	0,01290591	0,017725896	0,017086362	0,022653295	0,017521895	0,017211221	0,016923318	0,030618062	0,02689028	0,01873222	0,027194098	0,028975654	0,027276209	0,02052658	0,027909659	0,0315053
year_2021_Bin_38_MAG_00001	0,009676497	0,005170661	0,0026422765	0,0041658976	0,005160665	0,0038457015	0,024421576	0,004709774	0,0041854014	0,0020689836	0,0021694575	0,004684719	0,0057326895	0,007789647	0,021239972	0,031754673	0,017088352	0,009310469	0,01719382	0,014106352	0,01632578	0,012390167	0,016494216	0,016225135	0,022074439	0,013501803	0,01135889	0,019658208	0,02342897	0,020626033	0,016649976	0,040538713	0,035101816
year_2021_Bin_40_MAG_00001	0,012491301	0,008264732	0,007967472	0,002326132	0,009290145	0,0069743725	0,027755901	0,009278066	0,012723233	0,0041826977	0,0068177674	0,01138947	0,00929683	0,017563403	0,019351711	0,009816253	0,010706155	0,008696189	0,013953045	0,012651048	0,01194303	0,012215763	0,008075393	0,0075613703	0,015952775	0,018052932	0,0143782785	0,014495053	0,020287097	0,010832086	0,017924543	0,024837274	0,013380601
year_2021_Bin_40_MAG_00002	0,016705992	0,005622429	0,006721249	0,0044195466	0,0059634033	0,005911027	0,01824129	0,013859939	0,0135307675	0,0058114347	0,004976382	0,0064254417	0,005815371	0,01772193	0,018543327	0,020071568	0,016312227	0,015793255	0,013454507	0,017079111	0,019571463	0,016839614	0,012772814	0,012179868	0,02339042	0,018093642	0,011563167	0,024070198	0,02328829	0,021698141	0,014684528	0,024668446	0,02661544
year_2021_Bin_40_MAG_00003	0,011690384	0,006958136	0,006334392	0,005353601	0,0056906613	0,0059644007	0,0192909	0,019439546	0,01986307	0,006788321	0,0042692213	0,014020169	0,0026832002	0,014609936	0,018395547	0,01617311	0,013572588	0,015236675	0,012869256	0,016105965	0,017372789	0,01422135	0,011877026	0,009686137	0,0199413	0,01978409	0,013715204	0,01977815	0,020397551	0,018726362	0,011321126	0,02030932	0,021786777
